Anio,Mes,Tipo_Dato,Item_Nombre,Item_Detalle,Valor_Principal_Porcentual,Valor_Secundario_Porcentual,Fuente_Archivo
2023,Enero,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.66,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.79,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,8.56,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Transporte,Lima Metropolitana,0.84,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,1.73,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.76,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.59,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2023,Enero,Variación Mensual,Recreación y Cultura,Lima Metropolitana,0.8,,01-informe-tecnico-variacion-de-precios-dic-2022.pdf
2024,Febrero,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.01,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.02,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Anual,Índice de Precios al Consumidor,Nacional,2.95,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,3.02,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,Transporte,Lima Metropolitana,-0.54,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.02,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.25,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.28,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2024,Febrero,Variación Mensual,"Bebidas Alcohólicas, Tabaco y Estupefacientes",Lima Metropolitana,0.59,,02-informe-tecnico-variacion-de-los-indicadores-de-precios-enero-2024.pdf
2023,Febrero,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.46,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2023,Febrero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.23,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2023,Febrero,Variación Mensual,Transporte,Lima Metropolitana,-0.9,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2023,Febrero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.67,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2023,Febrero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.53,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2023,Febrero,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.42,,02-informe-tecnico-variacion-de-precios-ene-2023.pdf
2025,Febrero,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.08,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,-0.09,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Anual,Índice de Precios al Consumidor,Nacional,1.8,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,1.85,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Mensual,Transporte,Lima Metropolitana,-0.99,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.33,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.36,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2025,Febrero,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.19,,02informetecnicovariaciondelosindicadoresdepreciosdelaeconomiaenero2025.pdf
2024,Marzo,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.41,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,1.34,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Anual,Índice de Precios al Consumidor,Nacional,2.93,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,3.29,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,0.58,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Acumulada,Índice de Precios al Consumidor,Nacional,0.42,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,Transporte,Lima Metropolitana,0.48,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.92,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.33,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,Educación,Lima Metropolitana,0.29,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Marzo,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,1.1,,03-informe-tecnico-variacion-de-los-indicadores-de-precios-febrero-2024.pdf
2024,Abril,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.94,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.91,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Anual,Índice de Precios al Consumidor,Nacional,2.67,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,3.05,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.59,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.37,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Transporte,Lima Metropolitana,0.8,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,1.7,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.49,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Educación,Lima Metropolitana,4.2,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2024,Abril,Variación Mensual,Salud,Lima Metropolitana,0.43,,04-informe-tecnico-variacion-de-los-indicadores-de-precios-marzo-2024.pdf
2023,Abril,Variación Mensual,Índice de Precios al Consumidor,Nacional,1.19,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,1.72,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Anual,Índice de Precios al Consumidor,Nacional,8.67,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,8.4,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.78,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Acumulada,Índice de Precios al Consumidor,Nacional,2.1,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Mensual,Transporte,Lima Metropolitana,-0.12,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,2.79,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.72,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2023,Abril,Variación Mensual,Educación,Lima Metropolitana,4.79,,04-informe-tecnico-variacion-de-precios-mar-2023.pdf
2024,Mayo,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.01,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.69,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Anual,Índice de Precios al Consumidor,Nacional,2.11,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.42,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.54,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.36,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,Transporte,Lima Metropolitana,0.35,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.86,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.29,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,Educación,Lima Metropolitana,0.16,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2024,Mayo,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,0.25,,05-informe-tecnico-variacion-de-los-indicadores-de-precios-abril-2024.pdf
2023,Mayo,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.55,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,1.19,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Anual,Índice de Precios al Consumidor,Nacional,8.04,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,7.97,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.35,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Nacional,2.66,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.77,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2023,Mayo,Variación Mensual,Salud,Lima Metropolitana,0.51,,05-informe-tecnico-variacion-de-precios-abr-2023.pdf
2024,Junio,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.13,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.43,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Anual,Índice de Precios al Consumidor,Nacional,1.66,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.0,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.45,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.23,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Mensual,Transporte,Lima Metropolitana,0.31,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.84,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.28,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2024,Junio,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.17,,06-informe-tecnico-variacion-de-los-indicadores-de-precios-mayo-2024.pdf
2023,Junio,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.31,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.64,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Anual,Índice de Precios al Consumidor,Nacional,7.99,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,7.89,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.67,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Acumulada,Índice de Precios al Consumidor,Nacional,2.98,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Mensual,Transporte,Lima Metropolitana,-0.31,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.69,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.38,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Junio,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,-0.75,,06-informe-tecnico-variacion-de-precios-may-2023.pdf
2023,Julio,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,-0.15,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.52,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.18,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,Transporte,Lima Metropolitana,-0.28,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-1.2,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.72,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.4,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,-0.13,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Julio,Variación Mensual,Comunicaciones,Lima Metropolitana,-0.02,,07-informe-tecnico-variacion-de-precios-jun-2023.pdf
2023,Setiembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.4,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,1.31,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Anual,Índice de Precios al Consumidor,Nacional,5.79,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,5.58,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,3.3,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,3.58,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Mensual,Transporte,Lima Metropolitana,1.01,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.85,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.43,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2023,Setiembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.33,,08-agosto-variacion-de-los-indicadores-de-precios-de-la-economia.pdf
2024,Agosto,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.23,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.24,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Anual,Índice de Precios al Consumidor,Nacional,1.77,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.13,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.81,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
