Anio,Mes,Tipo_Dato,Item_Nombre,Item_Detalle,Valor_Principal_Porcentual,Valor_Secundario_Porcentual,Fuente_Archivo
2024,Agosto,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.53,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Mensual,Transporte,Lima Metropolitana,0.63,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.34,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.16,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2024,Agosto,Variación Mensual,Recreación y Cultura,Lima Metropolitana,0.31,,08-informe-tecnico-variacion-de-los-indicadores-de-precios-julio-2024.pdf
2023,Agosto,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.34,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Anual,Índice de Precios al Consumidor,Nacional,6.02,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,5.88,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.92,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Acumulada,Índice de Precios al Consumidor,Nacional,3.17,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Mensual,Transporte,Lima Metropolitana,0.25,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.59,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,-0.31,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2023,Agosto,Variación Mensual,Recreación y Cultura,Lima Metropolitana,1.08,,08-informe-tecnico-variacion-de-precios-jul-2023_1.pdf
2024,Setiembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.31,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.28,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Anual,Índice de Precios al Consumidor,Nacional,1.68,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.03,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.1,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.85,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Mensual,Transporte,Lima Metropolitana,-0.07,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.93,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.22,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2024,Setiembre,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,0.17,,09-informe-tecnico-variacion-de-los-indicadores-de-precios-agosto-2024.pdf
2023,Octubre,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.06,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.02,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Anual,Índice de Precios al Consumidor,Nacional,5.27,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,5.04,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,3.32,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,3.65,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Mensual,Transporte,Lima Metropolitana,0.56,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.68,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Octubre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.32,,10-informe-tecnico-variacion-de-precios-setiembre-2023.pdf
2023,Noviembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.27,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Anual,Índice de Precios al Consumidor,Nacional,4.52,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,4.34,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.99,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Mensual,Transporte,Lima Metropolitana,0.37,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-2.0,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.36,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.37,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Noviembre,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,0.31,,11-informe-tecnico-variacion-de-precios-octubre-2023.pdf
2023,Diciembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.26,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Anual,Índice de Precios al Consumidor,Nacional,3.79,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,3.64,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,2.82,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,3.1,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Mensual,Transporte,Lima Metropolitana,-0.5,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-1.19,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.26,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.25,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2023,Diciembre,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,1.24,,12-informe-tecnico-variacion-de-precios-de-la-economia-noviembre-2023.pdf
2022,Diciembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.45,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,4.93,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Anual,Índice de Precios al Consumidor,Nacional,8.64,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,8.45,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,7.6,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,7.85,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Mensual,Transporte,Lima Metropolitana,0.27,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.77,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.68,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2022,Diciembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.6,,12-informe-tecnico-variacion-de-precios-nov-2022.pdf
2024,Enero,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.3,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.41,,boletin-precios-dic2023.pdf
2024,Enero,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,3.41,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Transporte,Lima Metropolitana,1.12,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.79,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.25,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.18,,boletin-precios-dic2023.pdf
2024,Enero,Variación Mensual,Recreación y Cultura,Lima Metropolitana,0.12,,boletin-precios-dic2023.pdf
2024,Diciembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.07,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.09,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Anual,Índice de Precios al Consumidor,Nacional,2.06,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.27,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.86,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.75,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Mensual,Transporte,Lima Metropolitana,-0.18,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.11,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.26,,boletin-precios-lm-nov2024.pdf
2024,Diciembre,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,0.47,,boletin-precios-lm-nov2024.pdf
2025,Enero,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.14,,boletin_precios_dic24.pdf
2025,Enero,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.11,,boletin_precios_dic24.pdf
2025,Enero,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.9,,boletin_precios_dic24.pdf
2025,Enero,Variación Mensual,Transporte,Lima Metropolitana,1.38,,boletin_precios_dic24.pdf
2025,Enero,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.6,,boletin_precios_dic24.pdf
2025,Enero,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.19,,boletin_precios_dic24.pdf
2025,Enero,Variación Mensual,Recreación y Cultura,Lima Metropolitana,0.48,,boletin_precios_dic24.pdf
2024,Julio,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.07,,boletin_precios_jun24.pdf
2024,Julio,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.12,,boletin_precios_jun24.pdf
2024,Julio,Variación Anual,Índice de Precios al Consumidor,Nacional,1.89,,boletin_precios_jun24.pdf
2024,Julio,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.29,,boletin_precios_jun24.pdf
2024,Julio,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.57,,boletin_precios_jun24.pdf
2024,Julio,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.3,,boletin_precios_jun24.pdf
2024,Julio,Variación Mensual,Transporte,Lima Metropolitana,0.18,,boletin_precios_jun24.pdf
2024,Julio,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.11,,boletin_precios_jun24.pdf
2024,Julio,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.2,,boletin_precios_jun24.pdf
2024,Julio,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.27,,boletin_precios_jun24.pdf
2024,Noviembre,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.04,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.53,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Anual,Índice de Precios al Consumidor,Nacional,1.73,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,2.01,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.76,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,0.23,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.64,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.17,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.18,,boletin_precios_oct24.pdf
2024,Noviembre,Variación Mensual,"Alojamiento, Agua, Electricidad, Gas y Otros Combustibles",Lima Metropolitana,0.11,,boletin_precios_oct24.pdf
2025,Abril,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.76,,informe-de-precios-mar25.pdf
2025,Abril,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.81,,informe-de-precios-mar25.pdf
2025,Abril,Variación Anual,Índice de Precios al Consumidor,Nacional,1.32,,informe-de-precios-mar25.pdf
2025,Abril,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,1.28,,informe-de-precios-mar25.pdf
2025,Abril,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,0.91,,informe-de-precios-mar25.pdf
2025,Abril,Variación Acumulada,Índice de Precios al Consumidor,Nacional,0.8,,informe-de-precios-mar25.pdf
2025,Abril,Variación Mensual,Transporte,Lima Metropolitana,-0.25,,informe-de-precios-mar25.pdf
2025,Abril,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,1.85,,informe-de-precios-mar25.pdf
2025,Abril,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.26,,informe-de-precios-mar25.pdf
2025,Abril,Variación Mensual,Educación,Lima Metropolitana,3.4,,informe-de-precios-mar25.pdf
2025,Marzo,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.12,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Anual,Índice de Precios al Consumidor,Nacional,1.51,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,1.48,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,0.09,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Acumulada,Índice de Precios al Consumidor,Nacional,0.04,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Mensual,Transporte,Lima Metropolitana,0.17,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.19,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.39,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Marzo,Variación Mensual,Educación,Lima Metropolitana,0.37,,informe-tecnico_precios-al-consumidor_feb2025.pdf
2025,Mayo,Variación Mensual,Índice de Precios al Consumidor,Nacional,0.3,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Anual,Índice de Precios al Consumidor,Nacional,1.64,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,1.65,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.23,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.1,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Mensual,Transporte,Lima Metropolitana,0.16,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,0.94,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.2,,informe-tecnico_variacion-de-precios.pdf
2025,Mayo,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.24,,informe-tecnico_variacion-de-precios.pdf
2024,Octubre,Variación Mensual,Índice de Precios al Consumidor,Nacional,-0.12,,informe_precios_set24.pdf
2024,Octubre,Variación Mensual,Índice de Precios al Consumidor,Lima Metropolitana,0.56,,informe_precios_set24.pdf
2024,Octubre,Variación Anual,Índice de Precios al Consumidor,Nacional,1.49,,informe_precios_set24.pdf
2024,Octubre,Variación Anual,Índice de Precios al Consumidor,Lima Metropolitana,1.78,,informe_precios_set24.pdf
2024,Octubre,Variación Acumulada,Índice de Precios al Consumidor,Lima Metropolitana,1.86,,informe_precios_set24.pdf
2024,Octubre,Variación Acumulada,Índice de Precios al Consumidor,Nacional,1.72,,informe_precios_set24.pdf
2024,Octubre,Variación Mensual,Transporte,Lima Metropolitana,-0.4,,informe_precios_set24.pdf
2024,Octubre,Variación Mensual,Alimentos y Bebidas No Alcohólicas,Lima Metropolitana,-0.97,,informe_precios_set24.pdf
2024,Octubre,Variación Mensual,Restaurantes y Hoteles,Lima Metropolitana,0.16,,informe_precios_set24.pdf
2024,Octubre,Variación Mensual,Bienes y Servicios Diversos,Lima Metropolitana,0.18,,informe_precios_set24.pdf
